category,keyword,count
sexism,pretty,8803
sexism,beautiful,8433
sexism,hot,6570
sexism,honey,3952
sexism,doll,2023
sexism,lovely,1784
sexism,cute,1652
sexism,weak,1483
sexism,sexy,1319
sexism,attractive,1279
sexism,babe,970
sexism,gorgeous,957
sexism,emotional,923
sexism,sweetie,613
sexism,dramatic,605
sexism,hysterical,594
sexism,stunning,566
sexism,sensitive,475
sexism,fragile,358
sexism,vain,327
sexism,gossip,229
sexism,passive,98
sexism,irrational,82
sexism,superficial,64
sexism,nag,54
sexism,dependent,47
sexism,submissive,33
racism,poor,2762
racism,dangerous,1881
racism,alien,1531
racism,violent,1036
racism,thug,948
racism,criminal,732
racism,mysterious,691
racism,foreign,625
racism,savage,548
racism,exotic,402
racism,aggressive,385
racism,primitive,379
racism,gangster,275
racism,ghetto,206
racism,welfare,194
racism,slum,184
racism,ignorant,167
racism,oriental,121
racism,uncivilized,19
racism,uneducated,9
homophobia,wrong,9890
homophobia,sick,3602
homophobia,disgusting,487
homophobia,faggot,224
homophobia,dyke,208
homophobia,unnatural,182
homophobia,fag,176
homophobia,queer,114
homophobia,homo,68
homophobia,shameful,58
homophobia,immoral,49
homophobia,perverted,47
homophobia,abnormal,45
homophobia,sinful,29
homophobia,deviant,17
homophobia,tranny,16
